,Card 1,Card 2,Card 3,sums
1360,10,7,7,24
1361,10,6,5,21
1362,3,9,3,15
1363,4,8,10,22
1364,7,10,9,26
1365,5,4,3,12
1366,4,8,2,14
1367,8,10,9,27
1368,1,2,10,13
1369,8,2,10,20
1370,3,4,10,17
1371,10,6,5,21
1372,10,6,5,21
1373,2,10,6,18
1374,1,1,7,9
1375,1,10,9,20
1376,9,7,10,26
1377,10,7,8,25
1378,5,10,3,18
1379,1,9,5,15
1380,8,1,3,12
1381,10,3,5,18
1382,3,10,10,23
1383,1,10,10,21
1384,10,5,10,25
1385,2,1,6,9
1386,4,10,4,18
1387,9,6,8,23
1388,10,6,6,22
1389,8,2,2,12
1390,4,2,9,15
1391,7,4,7,18
1392,9,9,9,27
1393,2,10,7,19
1394,10,1,1,12
1395,10,1,5,16
1396,5,4,10,19
1397,3,10,2,15
1398,4,6,1,11
1399,4,8,7,19
1400,3,5,6,14
1401,10,10,8,28
1402,8,3,10,21
1403,9,7,6,22
1404,10,5,4,19
1405,3,2,2,7
1406,8,10,10,28
1407,10,6,7,23
1408,10,3,5,18
1409,4,5,2,11
1410,6,4,7,17
1411,3,10,10,23
1412,1,2,7,10
1413,8,5,10,23
1414,9,9,8,26
1415,1,10,10,21
1416,7,9,9,25
1417,6,10,5,21
1418,3,10,8,21
1419,7,10,8,25
1420,4,10,10,24
1421,1,4,10,15
1422,2,3,1,6
1423,6,6,2,14
1424,10,6,10,26
1425,10,1,9,20
1426,4,8,5,17
1427,7,2,7,16
1428,7,9,1,17
1429,10,3,4,17
1430,5,10,6,21
1431,2,6,10,18
1432,1,4,10,15
1433,2,7,10,19
1434,1,10,5,16
1435,8,8,2,18
1436,9,4,3,16
1437,3,10,8,21
1438,6,10,5,21
1439,3,9,10,22
1440,2,10,6,18
1441,10,10,10,30
1442,3,2,10,15
1443,10,10,6,26
1444,7,9,6,22
1445,3,5,5,13
1446,4,6,10,20
1447,8,1,8,17
1448,10,5,2,17
1449,4,3,10,17
1450,1,2,9,12
1451,9,5,4,18
1452,10,3,7,20
1453,1,8,7,16
1454,1,4,10,15
1455,9,7,8,24
1456,10,4,2,16
1457,10,8,8,26
1458,8,10,10,28
1459,7,2,4,13
1460,10,4,3,17
1461,9,2,10,21
1462,9,5,7,21
1463,6,8,9,23
1464,7,10,6,23
1465,1,2,3,6
1466,3,10,4,17
1467,1,7,6,14
1468,6,10,10,26
1469,9,5,1,15
1470,10,10,1,21
1471,3,5,5,13
1472,9,3,8,20
1473,2,10,6,18
1474,1,7,1,9
1475,4,10,10,24
1476,8,2,9,19
1477,3,10,2,15
1478,5,10,6,21
1479,10,9,7,26
1480,4,10,1,15
1481,4,10,6,20
1482,5,6,1,12
1483,4,5,10,19
1484,2,5,10,17
1485,10,7,7,24
1486,3,8,8,19
1487,9,3,10,22
1488,9,8,6,23
1489,10,8,10,28
1490,10,5,4,19
1491,10,5,6,21
1492,2,10,10,22
1493,1,3,2,6
1494,4,9,10,23
1495,5,10,7,22
1496,1,2,1,4
1497,9,8,8,25
1498,1,7,4,12
1499,3,7,6,16
1500,3,2,9,14
1501,6,10,10,26
1502,4,7,10,21
1503,5,3,10,18
1504,10,9,10,29
1505,5,5,10,20
1506,3,10,3,16
1507,10,9,7,26
1508,2,1,6,9
1509,10,5,7,22
1510,9,5,8,22
1511,10,8,1,19
1512,7,7,8,22
1513,10,4,1,15
1514,2,4,9,15
1515,3,10,3,16
1516,6,8,6,20
1517,2,1,10,13
1518,4,10,4,18
1519,2,6,10,18
1520,9,4,5,18
1521,10,10,9,29
1522,10,10,1,21
1523,10,1,2,13
1524,3,10,1,14
1525,5,2,8,15
1526,9,3,4,16
1527,2,4,1,7
1528,10,6,9,25
1529,10,8,10,28
1530,2,3,7,12
1531,5,8,7,20
1532,6,7,6,19
1533,4,6,3,13
1534,7,10,8,25
1535,10,5,10,25
1536,2,9,5,16
1537,10,4,5,19
1538,9,1,3,13
1539,10,10,8,28
1540,10,6,7,23
1541,5,10,10,25
1542,3,1,4,8
1543,4,8,7,19
1544,10,7,1,18
1545,9,2,4,15
1546,2,8,10,20
1547,3,3,10,16
1548,6,6,2,14
1549,6,9,10,25
1550,5,7,1,13
1551,10,8,10,28
1552,10,7,2,19
1553,7,5,1,13
1554,10,9,9,28
1555,10,4,6,20
1556,3,10,5,18
1557,4,1,5,10
1558,10,6,8,24
1559,10,10,9,29
1560,10,7,3,20
1561,2,8,3,13
1562,6,10,9,25
1563,7,2,10,19
1564,1,10,4,15
1565,4,8,10,22
1566,1,8,3,12
1567,2,5,6,13
1568,3,3,1,7
1569,10,4,7,21
1570,7,9,8,24
1571,1,10,3,14
1572,10,8,4,22
1573,8,4,10,22
1574,7,6,5,18
1575,9,10,4,23
1576,5,5,6,16
1577,10,10,9,29
1578,1,8,7,16
1579,9,10,6,25
1580,10,10,10,30
1581,2,2,1,5
1582,6,10,2,18
1583,2,3,5,10
1584,3,5,10,18
1585,4,7,10,21
1586,2,4,1,7
1587,10,3,9,22
1588,5,10,2,17
1589,1,10,10,21
1590,8,4,3,15
1591,7,6,1,14
1592,6,7,2,15
1593,8,2,9,19
1594,10,8,3,21
1595,10,7,4,21
1596,10,5,1,16
1597,9,10,10,29
1598,8,9,5,22
1599,6,6,10,22
1600,10,7,4,21
1601,2,7,8,17
1602,9,1,10,20
1603,8,3,6,17
1604,7,10,10,27
1605,5,4,10,19
1606,10,4,1,15
1607,10,8,5,23
1608,6,1,8,15
1609,2,6,3,11
1610,1,9,3,13
1611,6,5,2,13
1612,9,10,10,29
1613,10,10,3,23
1614,5,2,4,11
1615,10,9,7,26
1616,10,4,7,21
1617,8,3,10,21
1618,10,5,5,20
1619,2,2,10,14
1620,3,3,8,14
1621,10,5,8,23
1622,6,6,10,22
1623,10,10,9,29
1624,10,7,6,23
1625,9,10,6,25
1626,4,2,1,7
1627,8,4,2,14
1628,9,3,5,17
1629,4,1,10,15
1630,10,1,7,18
1631,7,1,9,17
1632,3,10,5,18
1633,8,1,9,18
1634,6,2,1,9
1635,6,7,2,15
1636,10,9,10,29
1637,2,10,4,16
1638,6,4,10,20
1639,8,2,3,13
1640,5,7,10,22
1641,10,5,10,25
1642,4,4,1,9
1643,9,1,5,15
1644,10,3,7,20
1645,3,7,8,18
1646,6,10,10,26
1647,8,9,10,27
1648,10,8,9,27
1649,3,6,7,16
1650,4,7,10,21
1651,2,8,4,14
1652,5,9,6,20
1653,9,2,5,16
1654,10,1,10,21
1655,3,2,1,6
1656,5,1,10,16
1657,10,3,8,21
1658,10,1,10,21
1659,5,9,10,24
1660,2,7,7,16
1661,10,6,4,20
1662,3,6,4,13
1663,10,8,10,28
1664,8,2,10,20
1665,1,10,8,19
1666,9,3,6,18
1667,9,6,6,21
1668,10,1,4,15
1669,5,3,10,18
1670,2,10,7,19
1671,10,1,7,18
1672,8,10,10,28
1673,10,10,1,21
1674,8,6,4,18
1675,4,5,9,18
1676,3,5,3,11
1677,5,7,2,14
1678,7,9,10,26
1679,2,4,10,16
1680,10,10,5,25
1681,6,2,7,15
1682,3,10,10,23
1683,2,8,4,14
1684,4,1,10,15
1685,10,6,3,19
1686,4,1,6,11
1687,9,10,10,29
1688,1,7,7,15
1689,8,8,5,21
1690,5,5,6,16
1691,9,10,1,20
1692,9,10,9,28
1693,3,10,8,21
1694,3,2,7,12
1695,10,4,2,16
1696,1,4,10,15
1697,10,7,10,27
1698,10,1,3,14
1699,2,8,10,20
1700,9,3,7,19
1701,6,4,9,19
1702,2,3,8,13
1703,1,8,9,18
1704,4,2,2,8
1705,10,10,10,30
1706,6,6,6,18
1707,7,5,9,21
1708,10,10,10,30
1709,10,5,4,19
1710,3,5,8,16
1711,7,5,1,13
1712,7,10,5,22
1713,1,1,4,6
1714,10,1,9,20
1715,7,2,10,19
1716,6,5,3,14
1717,9,7,10,26
1718,10,8,10,28
1719,3,8,2,13
1720,10,5,10,25
1721,8,10,8,26
1722,9,7,10,26
1723,10,6,3,19
1724,4,4,2,10
1725,4,2,9,15
1726,10,1,5,16
1727,6,6,3,15
1728,10,10,5,25
1729,8,3,8,19
1730,2,1,5,8
1731,6,9,7,22
1732,10,5,10,25
1733,3,4,10,17
1734,8,7,10,25
1735,3,7,5,15
1736,10,2,10,22
1737,3,4,1,8
1738,7,6,4,17
1739,4,6,1,11
1740,2,6,9,17
1741,10,1,10,21
1742,10,9,10,29
1743,2,9,8,19
1744,8,10,10,28
1745,1,10,1,12
1746,10,5,7,22
1747,10,10,3,23
1748,8,8,2,18
1749,1,10,10,21
1750,6,6,10,22
1751,3,8,5,16
1752,9,4,3,16
1753,2,4,5,11
1754,6,9,7,22
1755,4,9,3,16
1756,7,10,4,21
1757,10,9,2,21
1758,7,2,10,19
1759,5,1,6,12
1760,10,8,8,26
1761,6,9,10,25
1762,10,3,10,23
1763,7,7,10,24
1764,5,3,10,18
1765,7,5,2,14
1766,9,3,1,13
1767,10,10,8,28
1768,1,6,6,13
1769,4,10,7,21
1770,8,2,9,19
1771,2,4,3,9
1772,1,4,10,15
1773,5,9,1,15
1774,5,10,4,19
1775,6,2,10,18
1776,7,10,10,27
1777,5,10,10,25
1778,1,9,9,19
1779,1,10,2,13
1780,10,10,4,24
1781,9,5,10,24
1782,8,3,2,13
1783,3,8,1,12
1784,10,2,10,22
1785,3,5,4,12
1786,3,8,7,18
1787,6,6,6,18
1788,10,8,7,25
1789,7,2,1,10
1790,5,4,10,19
1791,6,9,4,19
1792,10,1,4,15
1793,5,8,7,20
1794,10,2,10,22
1795,10,6,10,26
1796,9,10,1,20
1797,2,4,7,13
1798,6,10,8,24
1799,4,7,1,12
1800,2,5,3,10
1801,1,4,10,15
1802,3,8,10,21
1803,10,7,9,26
1804,6,8,10,24
1805,5,10,9,24
1806,2,6,3,11
1807,5,3,9,17
1808,10,6,2,18
1809,5,10,3,18
1810,8,8,4,20
1811,1,10,10,21
1812,5,9,10,24
1813,4,10,7,21
1814,5,3,6,14
1815,9,3,7,19
1816,8,5,6,19
1817,10,1,10,21
1818,10,8,2,20
1819,3,6,2,11
1820,1,7,4,12
1821,2,10,9,21
1822,1,4,7,12
1823,9,10,10,29
1824,10,10,10,30
1825,8,7,6,21
1826,5,10,10,25
1827,10,10,4,24
1828,6,6,1,13
1829,10,1,10,21
1830,2,5,8,15
1831,4,5,3,12
1832,3,1,10,14
1833,10,7,9,26
1834,7,4,9,20
1835,3,7,2,12
1836,4,2,10,16
1837,6,8,9,23
1838,9,8,3,20
1839,5,2,1,8
1840,6,9,10,25
1841,2,5,5,12
1842,9,7,5,21
1843,10,2,1,13
1844,10,8,6,24
1845,10,8,3,21
1846,1,5,1,7
1847,10,8,10,28
1848,7,3,6,16
1849,7,4,9,20
1850,2,4,2,8
1851,4,3,10,17
1852,1,7,10,18
1853,10,8,9,27
1854,4,10,10,24
1855,6,3,10,19
1856,10,2,9,21
1857,10,3,9,22
1858,10,10,3,23
1859,5,4,6,15
1860,10,6,6,22
1861,8,3,9,20
1862,5,7,2,14
1863,7,10,6,23
1864,5,7,2,14
1865,1,1,8,10
1866,10,4,1,15
1867,10,10,10,30
1868,9,4,1,14
1869,2,10,8,20
1870,7,5,3,15
1871,8,4,10,22
1872,9,8,5,22
1873,1,8,2,11
1874,7,10,1,18
1875,3,10,3,16
1876,10,1,7,18
1877,1,2,6,9
1878,5,5,10,20
1879,10,4,4,18
1880,5,2,10,17
1881,9,10,3,22
1882,6,10,7,23
1883,3,6,9,18
1884,10,4,6,20
1885,10,2,10,22
1886,10,4,8,22
1887,8,7,9,24
1888,10,7,9,26
1889,10,5,6,21
1890,5,10,10,25
1891,8,9,10,27
1892,4,4,6,14
1893,8,10,9,27
1894,7,10,10,27
1895,3,10,3,16
1896,2,2,10,14
1897,2,10,6,18
1898,7,5,4,16
1899,1,1,9,11
1900,1,2,5,8
1901,10,1,3,14
1902,8,3,4,15
1903,6,7,8,21
1904,5,10,3,18
1905,3,8,10,21
1906,1,1,9,11
1907,6,4,6,16
1908,10,2,5,17
1909,10,5,10,25
1910,8,4,1,13
1911,6,3,9,18
1912,2,2,9,13
1913,4,10,9,23
1914,10,2,6,18
1915,10,7,7,24
1916,1,7,4,12
1917,8,10,7,25
1918,5,10,10,25
1919,10,3,8,21
1920,9,2,8,19
1921,9,6,6,21
1922,10,3,1,14
1923,8,5,10,23
1924,7,10,7,24
1925,5,9,4,18
1926,4,4,10,18
1927,2,7,1,10
1928,10,10,6,26
1929,1,10,3,14
1930,10,9,8,27
1931,4,3,3,10
1932,2,8,5,15
1933,5,6,10,21
1934,10,1,7,18
1935,10,10,2,22
1936,10,9,6,25
1937,5,2,10,17
1938,5,2,10,17
1939,7,6,3,16
1940,10,10,7,27
1941,4,7,4,15
1942,5,8,6,19
1943,10,7,9,26
1944,10,10,4,24
1945,4,2,1,7
1946,9,8,1,18
1947,3,8,10,21
1948,1,2,9,12
1949,3,5,10,18
1950,3,1,6,10
1951,8,10,10,28
1952,10,5,4,19
1953,3,9,10,22
1954,10,9,8,27
1955,2,2,7,11
1956,7,6,2,15
1957,6,5,3,14
1958,1,7,5,13
1959,9,10,3,22
1960,10,8,3,21
1961,10,8,4,22
1962,6,10,10,26
1963,10,10,10,30
1964,10,2,5,17
1965,4,7,8,19
1966,9,4,1,14
1967,1,6,1,8
1968,3,1,10,14
1969,10,9,10,29
1970,3,4,6,13
1971,10,6,10,26
1972,7,7,9,23
1973,10,3,2,15
1974,1,8,6,15
1975,1,8,9,18
1976,7,4,10,21
1977,8,9,5,22
1978,8,10,5,23
1979,10,4,2,16
1980,3,10,5,18
1981,10,2,2,14
1982,6,1,7,14
1983,10,5,4,19
1984,5,8,9,22
1985,7,1,10,18
1986,4,5,1,10
1987,10,2,2,14
1988,2,10,4,16
1989,1,10,8,19
1990,1,9,7,17
1991,10,10,5,25
1992,3,10,4,17
1993,6,4,7,17
1994,9,10,6,25
1995,7,8,9,24
1996,3,10,10,23
1997,10,3,2,15
1998,6,3,5,14
1999,6,10,8,24
2000,10,3,10,23
2001,1,6,6,13
2002,10,1,4,15
2003,5,4,9,18
2004,6,10,3,19
2005,8,10,2,20
2006,9,1,10,20
2007,10,10,8,28
2008,7,7,2,16
2009,5,5,2,12
2010,10,4,10,24
2011,8,1,3,12
2012,7,10,3,20
2013,7,9,6,22
2014,10,4,9,23
2015,2,5,8,15
2016,8,10,7,25
2017,1,10,10,21
2018,6,1,4,11
2019,4,5,5,14
2020,9,3,8,20
2021,10,1,9,20
2022,10,6,7,23
2023,7,10,3,20
2024,2,10,4,16
2025,10,2,6,18
2026,5,10,10,25
2027,2,9,3,14
2028,7,2,9,18
2029,10,8,6,24
2030,4,8,3,15
2031,10,1,5,16
2032,1,10,7,18
2033,10,5,9,24
2034,2,8,6,16
2035,4,4,10,18
2036,10,8,6,24
2037,1,4,3,8
2038,10,5,10,25
2039,10,1,9,20
2040,4,10,2,16
2041,10,6,3,19
2042,2,7,1,10
2043,3,8,7,18
2044,6,5,10,21
2045,9,7,10,26
2046,8,3,2,13
2047,5,9,10,24
2048,2,3,2,7
2049,1,6,7,14
2050,8,5,1,14
2051,7,9,10,26
2052,4,10,3,17
2053,6,4,10,20
2054,9,1,5,15
2055,10,2,10,22
2056,8,6,5,19
2057,9,6,10,25
2058,7,3,4,14
2059,10,10,5,25
2060,9,2,4,15
2061,8,10,8,26
2062,7,10,1,18
2063,10,3,10,23
2064,1,8,10,19
2065,2,10,2,14
2066,9,6,10,25
2067,5,3,3,11
2068,10,9,7,26
2069,7,9,4,20
2070,4,8,10,22
2071,6,10,9,25
2072,6,10,10,26
2073,5,5,7,17
2074,6,3,7,16
2075,3,1,8,12
2076,2,10,10,22
2077,10,8,1,19
2078,5,1,4,10
2079,2,4,10,16
2080,1,1,1,3
2081,6,10,10,26
2082,10,5,10,25
2083,7,6,7,20
2084,5,2,10,17
2085,10,10,10,30
2086,4,7,6,17
2087,3,10,9,22
2088,5,10,3,18
2089,8,9,10,27
2090,1,3,8,12
2091,8,2,3,13
2092,5,4,7,16
2093,2,6,2,10
2094,8,9,9,26
2095,4,10,4,18
2096,6,9,3,18
2097,10,4,5,19
2098,1,8,2,11
2099,10,4,3,17
2100,10,3,9,22
2101,7,4,5,16
2102,7,10,6,23
2103,2,2,10,14
2104,9,8,10,27
2105,6,5,2,13
2106,1,4,10,15
2107,10,10,8,28
2108,10,1,7,18
2109,6,10,10,26
2110,5,9,8,22
2111,1,3,7,11
2112,9,9,6,24
2113,4,10,7,21
2114,6,10,4,20
2115,2,8,10,20
2116,5,10,10,25
2117,10,10,10,30
2118,3,3,3,9
2119,2,5,10,17
2120,9,6,3,18
2121,8,5,7,20
2122,1,7,2,10
2123,5,1,9,15
2124,10,10,6,26
2125,8,4,7,19
2126,4,8,1,13
2127,1,2,10,13
2128,9,6,5,20
2129,1,10,7,18
2130,3,4,10,17
2131,10,6,8,24
2132,7,1,9,17
2133,10,9,9,28
2134,1,3,5,9
2135,5,10,6,21
2136,6,10,3,19
2137,8,4,8,20
2138,2,7,5,14
2139,10,1,10,21
2140,10,2,2,14
2141,4,7,10,21
2142,2,3,8,13
2143,10,10,4,24
2144,2,9,7,18
2145,9,2,8,19
2146,4,8,1,13
2147,3,9,5,17
2148,7,6,10,23
2149,4,2,10,16
2150,6,8,1,15
2151,4,10,3,17
2152,5,7,10,22
2153,4,10,10,24
2154,1,6,5,12
2155,10,10,7,27
2156,1,3,5,9
2157,10,6,10,26
2158,3,8,2,13
2159,10,9,10,29
2160,4,10,10,24
2161,10,10,10,30
2162,8,1,2,11
2163,7,6,6,19
2164,8,8,10,26
2165,4,9,9,22
2166,3,3,2,8
2167,4,3,6,13
2168,1,8,1,10
2169,10,7,10,27
2170,9,5,6,20
2171,3,2,7,12
2172,5,1,2,8
2173,10,10,10,30
2174,5,10,4,19
2175,9,5,7,21
2176,10,7,9,26
2177,8,1,7,16
2178,3,4,6,13
2179,10,6,4,20
2180,1,10,7,18
2181,10,5,10,25
2182,9,10,9,28
2183,3,6,9,18
2184,1,8,6,15
2185,7,5,8,20
2186,10,3,5,18
2187,4,4,10,18
2188,5,2,3,10
2189,2,2,8,12
2190,10,10,1,21
2191,10,2,10,22
2192,10,1,4,15
2193,10,2,5,17
2194,10,1,10,21
2195,8,2,10,20
2196,5,2,6,13
2197,9,4,4,17
2198,8,10,10,28
2199,3,6,6,15
2200,10,7,9,26
2201,5,1,5,11
2202,10,7,1,18
2203,7,8,10,25
2204,8,2,3,13
2205,7,6,4,17
2206,9,9,3,21
2207,10,10,3,23
2208,7,4,5,16
2209,7,3,2,12
2210,10,10,10,30
2211,6,9,10,25
2212,4,5,5,14
2213,4,1,4,9
2214,10,8,10,28
2215,10,9,7,26
2216,8,10,9,27
2217,1,1,6,8
2218,2,3,5,10
2219,6,2,10,18
2220,10,7,6,23
2221,10,3,2,15
2222,3,9,10,22
2223,8,8,1,17
2224,5,10,1,16
2225,5,10,10,25
2226,1,10,5,16
2227,10,6,6,22
2228,8,9,3,20
2229,2,8,3,13
2230,7,6,4,17
2231,3,9,4,16
2232,7,2,1,10
2233,4,8,1,13
2234,10,10,9,29
2235,10,10,10,30
2236,10,2,10,22
2237,3,8,5,16
2238,6,9,4,19
2239,7,7,2,16
2240,3,9,3,15
2241,4,2,10,16
2242,6,10,1,17
2243,5,7,2,14
2244,1,10,10,21
2245,8,6,9,23
2246,8,10,4,22
2247,9,5,5,19
2248,8,1,10,19
2249,5,10,3,18
2250,9,7,7,23
2251,10,10,10,30
2252,2,10,4,16
2253,3,6,4,13
2254,7,6,1,14
2255,2,8,10,20
2256,10,10,6,26
2257,9,6,7,22
2258,10,1,3,14
2259,6,10,10,26
2260,2,5,3,10
2261,3,10,10,23
2262,8,10,9,27
2263,6,8,7,21
2264,9,10,1,20
2265,3,4,10,17
2266,7,1,4,12
2267,5,5,2,12
2268,2,7,10,19
2269,4,5,1,10
2270,10,4,8,22
2271,8,9,2,19
2272,10,5,2,17
2273,2,6,10,18
2274,7,1,4,12
2275,10,10,2,22
2276,5,6,10,21
2277,3,4,3,10
2278,1,1,9,11
2279,3,5,7,15
2280,6,9,7,22
2281,8,9,10,27
2282,4,8,8,20
2283,1,10,7,18
2284,10,2,10,22
2285,6,10,8,24
2286,10,3,9,22
2287,4,5,10,19
2288,4,2,10,16
2289,8,10,1,19
2290,9,3,7,19
2291,1,10,3,14
2292,9,10,6,25
2293,5,10,8,23
2294,10,3,10,23
2295,1,6,10,17
2296,4,7,7,18
2297,8,10,10,28
2298,9,8,2,19
2299,1,4,10,15
2300,6,5,2,13
2301,10,5,4,19
2302,7,5,9,21
2303,3,6,2,11
2304,10,9,9,28
2305,4,2,10,16
2306,9,10,6,25
2307,10,8,1,19
2308,2,10,10,22
2309,8,9,1,18
2310,6,4,10,20
2311,5,7,7,19
2312,4,10,5,19
2313,1,10,10,21
2314,3,5,6,14
2315,3,7,3,13
2316,5,10,4,19
2317,2,6,1,9
2318,3,7,10,20
2319,8,2,8,18
2320,7,7,8,22
2321,10,10,1,21
2322,8,6,1,15
2323,10,1,5,16
2324,10,10,5,25
2325,10,4,10,24
2326,6,3,9,18
2327,4,10,10,24
2328,2,9,10,21
2329,5,10,6,21
2330,4,2,5,11
2331,3,2,3,8
2332,4,10,3,17
2333,1,8,7,16
2334,9,6,2,17
2335,8,7,9,24
2336,9,5,4,18
2337,7,8,1,16
2338,1,4,10,15
2339,6,10,7,23
2340,1,6,10,17
2341,9,10,2,21
2342,10,1,10,21
2343,9,10,3,22
2344,6,7,6,19
2345,9,3,5,17
2346,3,2,4,9
2347,10,3,8,21
2348,7,5,8,20
2349,10,4,10,24
2350,10,8,10,28
2351,5,2,2,9
2352,8,3,3,14
2353,3,4,4,11
2354,10,10,6,26
2355,10,1,10,21
2356,7,2,10,19
2357,5,6,5,16
2358,10,10,5,25
2359,1,5,7,13
2360,2,6,3,11
2361,10,8,9,27
2362,2,10,1,13
2363,9,10,7,26
2364,7,8,1,16
2365,4,10,2,16
2366,9,6,9,24
2367,4,8,10,22
2368,10,8,8,26
2369,10,2,5,17
2370,5,6,10,21
2371,1,10,7,18
2372,10,2,2,14
2373,10,7,6,23
2374,10,3,9,22
2375,9,7,1,17
2376,4,3,1,8
2377,3,10,8,21
2378,9,1,2,12
2379,9,4,8,21
2380,10,4,6,20
2381,10,5,7,22
2382,10,10,5,25
2383,4,3,6,13
2384,5,4,2,11
2385,6,1,5,12
2386,7,10,6,23
2387,5,8,10,23
2388,4,4,3,11
2389,2,5,10,17
2390,9,2,9,20
2391,8,10,10,28
2392,7,3,10,20
2393,6,6,1,13
2394,1,10,8,19
2395,1,3,9,13
2396,2,10,4,16
2397,10,10,7,27
2398,10,9,8,27
2399,10,3,7,20
2400,4,2,2,8
2401,9,9,4,22
2402,10,1,5,16
2403,3,7,1,11
2404,10,6,8,24
2405,9,10,1,20
2406,10,4,5,19
2407,10,6,6,22
2408,7,10,8,25
2409,8,8,4,20
2410,5,10,2,17
2411,10,3,7,20
2412,3,3,10,16
2413,9,10,10,29
2414,10,7,2,19
2415,1,5,6,12
2416,9,10,6,25
2417,4,10,8,22
2418,6,2,10,18
2419,2,2,1,5
2420,7,6,5,18
2421,10,8,1,19
2422,10,3,4,17
2423,4,10,7,21
2424,10,3,5,18
2425,9,1,7,17
2426,10,3,9,22
2427,4,10,5,19
2428,3,1,8,12
2429,5,10,10,25
2430,6,10,9,25
2431,8,2,7,17
2432,9,1,7,17
2433,8,2,8,18
2434,10,8,3,21
2435,5,9,1,15
2436,3,4,2,9
2437,4,9,1,14
2438,3,10,4,17
2439,2,7,10,19
2440,2,7,10,19
2441,10,5,6,21
2442,6,6,1,13
2443,10,6,10,26
2444,10,7,8,25
2445,3,10,5,18
2446,5,9,4,18
2447,10,10,10,30
2448,4,10,3,17
2449,7,1,2,10
2450,3,10,10,23
2451,7,6,1,14
2452,2,9,6,17
2453,2,8,4,14
2454,5,4,10,19
2455,5,4,5,14
2456,10,1,10,21
2457,7,10,7,24
2458,6,10,8,24
2459,3,9,8,20
2460,3,2,6,11
2461,5,10,10,25
2462,9,10,10,29
2463,8,1,9,18
2464,8,6,9,23
2465,4,6,5,15
2466,10,7,4,21
2467,5,2,10,17
2468,3,1,6,10
2469,4,10,8,22
2470,7,3,6,16
2471,10,8,10,28
2472,2,7,3,12
2473,9,2,8,19
2474,3,5,9,17
2475,1,10,10,21
2476,10,1,10,21
2477,2,9,4,15
2478,10,7,1,18
2479,5,10,10,25
2480,5,10,10,25
2481,10,8,9,27
2482,4,2,9,15
2483,5,4,10,19
2484,5,10,4,19
2485,2,10,1,13
2486,7,7,5,19
2487,8,10,9,27
2488,6,10,3,19
2489,10,6,2,18
2490,9,3,10,22
2491,3,8,1,12
2492,10,6,6,22
2493,2,1,7,10
2494,10,3,4,17
2495,7,1,8,16
2496,10,6,8,24
2497,4,5,10,19
2498,1,10,8,19
2499,8,9,5,22
2500,2,10,10,22
2501,9,6,7,22
2502,6,10,3,19
2503,1,4,2,7
2504,10,6,4,20
2505,7,7,9,23
2506,1,8,7,16
2507,10,3,10,23
2508,10,1,2,13
2509,10,10,9,29
2510,5,2,5,12
2511,4,3,3,10
2512,10,10,7,27
2513,6,2,10,18
2514,1,9,3,13
2515,4,10,10,24
2516,9,3,6,18
2517,6,3,7,16
2518,1,9,5,15
2519,10,6,10,26
2520,8,5,10,23
2521,3,10,4,17
2522,9,5,10,24
2523,2,1,4,7
2524,7,10,2,19
2525,2,8,1,11
2526,8,10,5,23
2527,4,7,8,19
2528,10,8,7,25
2529,4,9,1,14
2530,10,6,8,24
2531,9,1,4,14
2532,5,10,10,25
2533,10,8,5,23
2534,3,1,6,10
2535,10,10,2,22
2536,9,3,2,14
2537,4,7,2,13
2538,5,9,7,21
2539,1,4,10,15
2540,10,7,6,23
2541,10,3,2,15
2542,6,5,8,19
2543,10,10,3,23
2544,10,5,10,25
2545,6,10,3,19
2546,9,9,1,19
2547,10,5,4,19
2548,6,10,10,26
2549,10,8,7,25
2550,5,8,1,14
2551,1,2,10,13
2552,4,6,3,13
2553,7,3,7,17
2554,3,10,2,15
2555,10,2,4,16
2556,8,9,8,25
2557,9,7,10,26
2558,6,4,10,20
2559,2,5,1,8
2560,3,2,8,13
2561,1,10,10,21
2562,9,10,6,25
2563,5,8,3,16
2564,10,5,2,17
2565,3,3,10,16
2566,9,10,6,25
2567,10,2,2,14
2568,5,9,9,23
2569,10,7,7,24
2570,10,4,4,18
2571,1,4,7,12
2572,8,6,1,15
2573,7,10,4,21
2574,6,1,10,17
2575,5,8,10,23
2576,4,5,6,15
2577,2,9,1,12
2578,10,8,3,21
2579,10,10,10,30
2580,3,6,10,19
2581,10,5,3,18
2582,8,2,8,18
2583,6,4,10,20
2584,10,2,10,22
2585,1,4,2,7
2586,7,5,6,18
2587,10,10,10,30
2588,7,7,3,17
2589,1,1,7,9
2590,4,8,5,17
2591,9,9,9,27
2592,10,1,9,20
2593,5,2,10,17
2594,10,5,8,23
2595,4,3,5,12
2596,6,2,1,9
2597,6,10,7,23
2598,6,9,2,17
2599,8,8,6,22
2600,1,10,5,16
2601,4,3,10,17
2602,10,9,7,26
2603,3,10,8,21
2604,7,4,1,12
2605,10,10,9,29
2606,2,10,4,16
2607,7,10,3,20
2608,5,4,1,10
2609,4,6,10,20
2610,7,10,10,27
2611,10,6,7,23
2612,10,2,3,15
2613,4,10,7,21
2614,10,8,5,23
2615,1,10,9,20
2616,10,8,8,26
2617,6,10,10,26
2618,2,9,8,19
2619,7,3,1,11
2620,3,1,9,13
2621,5,9,6,20
2622,2,4,5,11
2623,3,2,10,15
2624,8,8,10,26
2625,6,10,2,18
2626,10,1,8,19
2627,2,3,10,15
2628,3,2,10,15
2629,9,4,10,23
2630,10,4,7,21
